Source;Station;Densp1;Dens;EPA;Efficacite;Nom
IAV;2007_0456XXX1;3;9;0;0.33;ACH-64
IAV;2007_0456XXX3;3;8;0.2;0.38;ARCH-66
IAV;2007_0456XXX5;4;6;;0.67;ARZ-45
IAV;2007_0456XXX8;6;12;0.33;0.5;ARZ-47
IAV;2007_0456XXX9;3;16;0.73;0.19;MARZ-13
IAV;2007_0456XX10;14;33;0.57;0.42;ARZA-5
IAV;2007_0456XX12;1;;0;;TREV-21
IAV;2007_0456XX13;8;19;0.22;0.42;TREVc-22
IAV;2007_0456XX16;20;43;1.4;0.47;TREV-22
IAV;2007_0435XXX1;10;37;1.2;0.27;ARONa-82
IAV;2007_0435XXX2;13;34;0.73;0.38;ARONb-82
IAV;2007_0435XXX6;43;87;2.2;0.49;CANSb-65
IAV;2007_0435XXX8;15;35;1.3;0.43;CANS-67
IAV;2007_0435XXX9;18;27;0.67;0.67;CHEVa-165
IAV;2007_0435XXX11;4;4;;1;CHEV-163
IAV;2007_0435XXX13;6;;0.08;;CANN-110
IAV;2007_0435XXX14;11;16;0.38;0.69;CANN-115
IAV;2007_0435XXX16;17;46;1.38;0.37;CHEa-135
IAV;2007_0435XXX18;7;16;0.29;0.44;CHEZ-134
IAV;2009_0456XXX1;10;18;0.86;0.89;ACH-64
IAV;2009_0456XXX3;3;15;0.5;0.53;ARCH-66
IAV;2009_0456XXX5;9;16;0.25;0.69;ARZ-45
IAV;2009_0456XXX8;22;49;0.7;0.59;ARZ-47
IAV;2009_0456XXX9;10;12;;;MARZ-13
IAV;2009_0456XX10;10;31;0.88;0.55;ARZA-5
IAV;2009_0456XX12;0;7;0.13;0.14;TREV-21
IAV;2009_0456XX13;18;41;0.11;0.46;TREVc-22
IAV;2009_0456XX16;15;38;0.44;0.5;TREV-22
IAV;2009_0435XXX1;11;23;0.75;0.74;ARONa-82
IAV;2009_0435XXX2;26;47;1.33;0.81;ARONb-82
IAV;2009_0435XXX6;14;41;0;0.34;CANSb-65
IAV;2009_0435XXX8;17;40;1.86;0.75;CANS-67
IAV;2009_0435XXX9;6;8;0.29;1;CHEVa-165
IAV;2009_0435XXX11;10;13;0.25;0.92;CHEV-163
IAV;2009_0435XXX13;4;12;0.38;0.58;CANN-110
IAV;2009_0435XXX14;8;11;0.29;0.91;CANN-115
IAV;2009_0435XXX16;4;33;0.86;0.3;CHEa-135
IAV;2009_0435XXX18;4;4;0;1;CHEZ-134
Bretagne;evron 1;14;30;0.56;0.47;evron 1
Bretagne;evron 2;8;21;0.32;0.38;evron 2
Bretagne;evron 3;2;3;0.08;0.67;evron 3
Bretagne;evron 5;0;;0;;evron 5
Bretagne;evron 6;1;1;0.04;1;evron 6
Bretagne;gouessant 1;10;29;0.4;0.34;gouessant 1
Bretagne;gouessant 2;10;17;0.4;0.59;gouessant 2
Bretagne;gouessant 3;0;;0;;gouessant 3
Bretagne;pont labbé 1;173;752;6.92;0.23;pont labbé 1
Bretagne;pont labbé 2;12;17;0.48;0.71;pont labbé 2
Bretagne;pont labbé 3;24;53;0.96;0.45;pont labbé 3
Bretagne;pont labbé 4;0;;0;;pont labbé 4
Bretagne;lanvern1;27;51;1.08;0.53;lanvern1
Bretagne;lanvern2;8;24;0.32;0.33;lanvern2
Bretagne;St Jean;21;;0.84;;St Jean
Bretagne;Rance 1;38;58;1.52;0.66;Rance 1
Bretagne;Rance 2;119;205;4.76;0.58;Rance 2
Bretagne;Rance 3;1;1;0.04;1;Rance 3
Bretagne;Rance 4;0;;0;;Rance 4
Bretagne;Rance 5;1;1;0.04;1;Rance 5
Bretagne;Linon;119;258;4.76;0.46;Linon
Bretagne;Le Hac;10;25;0.4;0.4;Le Hac
SD22;Camarel 1;70;244;2.8;0.29;Camarel 1
SD22;Camarel 2;57;283;2.28;0.2;Camarel 2
SD22;Bouillennou 1;54;192;2.16;0.28;Bouillennou 1
SD22;Bouillennou 2;2;2;0.08;1;Bouillennou 2
SD22;Matignon 1;36;67;1.44;0.54;Matignon 1
SD22;Matignon 2;3;3;0.12;1;Matignon 2
SD22;Drouet 1;11;25;0.44;0.44;Drouet 1
SD22;Drouet 2;2;2;0.08;1;Drouet 2
SD22;Coetquen 1;12;20;0.48;0.6;Coetquen 1
SD22;Coetquen 2;9;14;0.36;0.64;Coetquen 2
SD22;Gue Parfond 1;9;10;0.36;0.9;Gue Parfond 1
SD22;Gue Parfond 2;5;5;0.2;1;Gue Parfond 2
Bretagne;Osée 1;62;118;2.07;0.53;Osée 1
Bretagne;Osée 2;7;10;0.23;0.7;Osée 2
Bretagne;Osée 3;12;54;0.63;0.22;Osée 3
Bretagne;Osée 4;4;5;0.19;0.8;Osée 4
Bretagne;Osée 5;15;30;0.83;0.5;Osée 5
