station;longueur;largeur;;;;;;;
4350126;146;4.33;;;;;;;
4350127;145;4.4;;;;;;;
4350109;164;4.4;;;;;;;
4350111;157;3.9;;;;;;;
4350112;190;4.1;;;;;;;
4350114;112;5.3;;;;;;;
4350116;116;6.8;;;;;;;
4350117;117;4.9;;;;;;;
4350119;143;2.9;;;;;;;
4350121;160;3.2;;;;;;;
4560140;137;2.2;;;;;;;
4560142;171;2.1;;;;;;;
4560144;120;10.5;;;;;;;
4560147;125;2.1;;;;;;;
4560148;150;2.9;;;;;;;
4560149;158;2.3;;;;;;;
4560151;170;2;;;;;;;
4560152;161;2.7;;;;;;;
4560155;140;3.2;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
