station;taille
4350126;195
4350126;160
4350126;145
4350126;365
4350126;390
4350126;510
4350127;430
4350127;370
4350127;395
4350127;455
4350127;340
4350127;235
4350127;152
4350127;395
4350127;320
4350127;178
4350127;165
4350109;215
4350109;400
4350109;265
4350109;500
4350109;285
4350109;285
4350109;300
4350109;165
4350109;255
4350109;230
4350109;310
4350109;355
4350109;440
4350109;193
4350111;464
4350111;483
4350111;265
4350111;232
4350111;376
4350111;414
4350111;382
4350111;295
4350111;485
4350111;360
4350111;334
4350111;265
4350111;266
4350111;228
4350111;209
4350111;287
4350111;283
4350111;309
4350111;293
4350111;365
4350112;505
4350112;428
4350112;611
4350112;232
4350114;632
4350114;395
4350114;228
4350114;282
4350119;290
4350119;380
4350119;310
4350119;345
4350119;260
4350119;285
4350119;235
4350119;380
4350119;295
4350119;250
4350119;520
4350119;610
4350121;400
4350121;290
4350121;360
4350121;350
4350121;325
4350121;350
4350121;380
4350121;300
4350121;260
4350121;340
4350121;505
4560155;225
4560155;194
4560155;159
4560155;135
4560155;126
4560155;186
4560155;138
4560155;98
4560155;101
4560155;234
4560152;147
4560152;156
4560152;214
4560152;209
4560152;186
4560152;185
4560152;206
4560152;130
4560152;121
4560152;112
4560151;147
4560151;163
4560151;93
4560149;146
4560149;85
4560149;159
4560149;134
4560149;100
4560148;295
4560148;245
4560148;326
4560148;250
4560148;200
4560148;294
4560148;311
4560148;220
4560148;330
4560148;244
4560148;307
4560148;175
4560148;218
4560148;137
4560148;234
4560148;186
4560148;132
4560148;170
4560148;143
4560148;210
4560148;135
4560148;183
4560148;109
4560148;182
4560148;124
4560148;201
4560148;174
4560148;168
4560148;175
4560148;103
4560148;84
4560148;123
4560148;93
4560148;147
4560148;105
4560148;174
4560148;133
4560148;124
4560148;151
4560148;112
4560148;122
4560148;219
4560148;120
4560148;212
4560148;122
4560148;175
4560148;166
4560148;140
4560148;104
4560148;110
4560148;190
4560148;141
4560148;128
4560148;130
4560148;108
4560148;124
4560148;140
4560148;126
4560148;115
4560148;107
4560148;91
4560148;101
4560148;70
4560147;205
4560147;165
4560147;154
4560147;168
4560147;141
4560147;109
4560147;159
4560147;312
4560147;236
4560147;319
4560147;152
4560147;178
4560147;169
4560147;153
4560147;191
4560147;211
4560147;135
4560144;210
4560144;122
4560144;171
4560144;226
4560144;395
4560144;314
4560144;182
4560144;220
4560144;335
4560144;192
4560144;126
4560144;152
4560144;109
4560142;314
4560142;205
4560142;442
4560140;343
4560140;300
4560140;365
4560140;282
4560140;196
4560140;196
