"Nb";"annee";"$D$";"$IC~D$";"$\Phi$";"$IC~\Phi$";"$B_e$";"$IC~B_e$"
"1998";18;"1998";0.75;0.38;0.51;0.07;17.04;4.46
"1999";19;"1999";0.73;0.35;0.54;0.09;18.29;6.57
"2000";19;"2000";0.88;0.42;0.59;0.11;19.1;5.86
"2001";19;"2001";0.78;0.28;0.6;0.09;18.97;6.64
"2002";19;"2002";0.58;0.29;0.56;0.12;13.21;4.65
"2003";19;"2003";0.34;0.1;0.69;0.09;8.92;3.07
"2005";19;"2005";0.23;0.09;0.75;0.11;8.31;4.03
"2007";19;"2007";0.22;0.1;0.73;0.09;11.57;8.61
"2009";19;"2009";0.22;0.08;0.66;0.12;8.9;3.43
"2011";19;"2011";0.17;0.07;0.62;0.1;6.08;2.56
"2013";19;"2013";0.28;0.11;0.57;0.1;8.9;4.36
"2014";19;"2014";0.46;0.29;0.57;0.1;9.51;4.85
"2015";19;"2015";0.31;0.13;0.6;0.11;5.23;2.29
"2016";19;"2016";0.44;0.24;0.62;0.14;5.16;2.89
"2017";19;"2017";0.21;0.11;0.56;0.1;4.83;2.5
"2018";19;"2018";0.57;0.32;0.62;0.14;6.1;2.62
"2019";19;"2019";0.4;0.21;0.58;0.13;5.2;2.41
"2020";19;"2020";0.52;0.29;0.53;0.09;5.85;2.06
"2021";19;"2021";0.41;0.15;0.64;0.06;5.55;1.22
