season;year;rec;cpec;pass;sed;ech;tard;sr;eff;tx;trans;Netestu;passem;pecxp;eclm;recfluciv;aj;ajcoh
1995_1996;1996;24555;22402;333;1347;2000;2117;12.5;15.7;91.2;0;1784;1.32868;0;0;1.32868;15.645;13.9
1996_1997;1997;23920;22656;53;64;139;117;0.8;45.4;94.7;0;64;0.20965;0;0;0.20965;10.893;15.45
1997_1998;1998;22962;17923;691;3007;4156;4720;25;14.6;78.1;0;4029;2.47419;0;0;2.47419;25.82267;19.61
1998_1999;1999;17022;15300;243;1099;1397;1573;10.9;15.5;89.9;0;1138.827586;0.88803;0.682758621;0;1.57079;36.886;37.4
1999_2000;2000;14907;14200;72;382;510;532;4.6;13.6;95.3;0;407.862069;0.3036;0.186206897;0;0.48981;16.543;11.62
2000_2001;2001;8479;8160;59;339;419;480;6.5;12.4;96.2;90;421;0.2356;0;0;0.2356;6.59;5.83
2001_2002;2002;15989;15941;15;116;199;225;1.7;6.6;99.7;232;135.8245583;0.05213;0.264912292;0;0.31704;7.21451;6.92
2002_2003;2003;10206;9171;74;421;536;685;8;10.8;89.9;172;457.8964377;0.28003;0.546798437;0;0.82683;9.44948;7.95
2003_2004;2004;7435;7237;5;111;136;164;2.6;2.9;97.3;213;55.22258214;0.02636;0.370633635;0;0.397;3.9049;10.4
2004_2005;2005;7111;7029;38;182;268;513;6.1;7.3;98.8;0;475;0.10648;0.645912685;0;0.75239;0.851;21.06
2005_2006;2006;7195;6104.63;218;;;1 090;;20;84.8;0;872;0.7197;0;0;0.7197;15.01086;18.89
2006_2007;2007;7589;6783;101.6;;;806;;12.6;89.4;132;583;0.38023;0;0.38;0.76023;15.66928;24.01
2007_2008;2008;5480;4572;113.9;;;908;;12.5;83.4;0;793.6745152;0.39623;0;0;0.39623;57.893;53.89
2008_2009;2009;2813;2611;43.4;;;203;;21.4;92.8;0;159.1157233;0.17501;0;0;0.17501;71.584;58.82
2009_2010;2010;3 145;3027;5.9;;;118;;5;96.2;0;112.1;0.025656;0;0;0.02566;28.353;9.81
2010_2011;2011;3972;3918;2.7;;;54;;5;98.6;200;51;0.011258;0.588;0;0.59926;9.554;12.78
2011_2012;2012;4 482;3030;433;;;2 887;;15;51.2;103;333;1.582;1.1288;0.261953;2.97275;12.454;
2012_2013;2013;5 368;2100;822;;;5 480;;15;27.7;300;560;3.003242494;1.8983;2.5;7.4;144.992;
2013_2014;2014;6 482;3906;1607;;;1 140;;15;49.2;;;;;;;;
2014_2015;2015;4 538;4412;6;;;120;;5;92.3;;;;;;;;
2015_2016;2016;5 407;4618;626;;;100;;5;78.4;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
