code_iav;CdStationTemp;LbStationMesureEauxSurface;Pm_Lieu;distance_mer;classdist;CdStationMesureEauxSurface;code_histo;riviere;Id_PtPrelMetier_avant_2014;Id_PtPrelMetier_apres2014
ARCH-64;4560160;L`Arches à Ruffiac;LA SOURICAIE;64;50-100rkm;4384000;0456XXX1;ARCHES;13220;13242
ARCH-66;4560162;L`Arches à Ruffiac;PONT D8 (La Ville noël);66;50-100rkm;4384001;0456XXX3;ARCHES;13222;13243
ARONa-82;4350126;L`Aron à Grand-fougeray;PONT RD 54;82;50-100rkm;4214295;0435XXX1;ARON;13207;2090
ARONb-82;4350127;L`Aron à Grand-fougeray;LA VALLEE (D54);82;50-100rkm;4378001;0435XXX2;ARON;13208;13250
ARZ-44;4560174;L`Arz à Saint-jacut-les-pins;1ER RADIER AVAL GUEVENEUX, Pt d`;44;<50rkm;4388000;0456XXX5;ARZ;13224;13244
ARZ-47;4560176;L`eclopas à Saint-jacut-les-pins;PONT D14;47;<50rkm;4388001;0456XXX8;ARZ;13227;13245
ARZA-4;4560166;Poste transfo EDF, ruisseau d`Arzal sur commune de Marzan;Kéruso ;4;<50rkm;4217445;0456XX10;ARZAL;13229;2151
CANN-110;4350116;Le Canut nord à Guignen;LA MONNERAIS AUX CHAUSSONS;110;>100rkm;4375002;0435XX13;CANUTNORD;13199;13255
CANN-115;4350117;Le Canut nord à Lassy, sur la D62 (lassy-Guignen);la Bosselais (Le Pont du Bignon);115;>100rkm;4375003;0435XX14;CANUTNORD;13200;13256
CANS-67;4350111;Le Canut Sud à Saint-Just;Trohinat;67;50-100rkm;4379003;0435XXX8;CANUTSUD;13194;13252
CANSb-65;4350109;Le Canut Sud à Renac;LA METAIRIE;65;50-100rkm;4379002;0435XXX6;CANUTSUD;13192;13251
CHEV-163;4350114;Le Chevré à la Bouexiere ;PONT D27(AVAL);163;>100rkm;4204000;0435XX11;CHEVRE;13197;13254
CHEVa-165;4350112;Le Chevré à la Bouexiere  ;ETANG DU CHEVRE (AVAL);165;>100rkm;4370005;0435XXX9;CHEVRE;13195;13253
CHEZ-134;4350121;La Chèze à Saint-thurial;La Vendrée (1er pt aval bourg);134;>100rkm;4373009;0435XX18;CHEZE;13204;13258
CHEZa-135;4350119;La Chèze à Saint-thurial;PT LE VAULT TRODON (Le Bas Huet);135;>100rkm;4373008;0435XX16;CHEZE;13202;13257
MARZ-13;4560165;La station est située à l`aval immédiat du pont sur D148;Le Moulin de Marzan;13;<50rkm;4393007;0456XXX9;MARZAN;13228;13246
SEICH-149;;La Sèche à Amanlis aval pont D37;Radier en aval du pont ;149;>100rkm;;Seiche aval;SEICHE;;13259
SEICH-150;;La Sèche en aval du moulin d'Amanlis;Le moulin d'Amanlis, premier radier aval déversoir;150;>100rkm;;Seiche amt;SEICHE;;13260
TREV-22;4560169;Pont D156 (Limerzel-Caden);Le Moulin d'Amanlis;22;<50rkm;4216050;0456XX13;TREVELO;13232;13247
TREV-bou;4560168;Pont sur la route communale entre le Pont Neuf et la Guilloterie;LA GUILLOTERIE;21;<50rkm;4393005;0456XX12;TREVELO;13231;13248
TREV-pes;4560172; En aval de l`ancien moulin;Ancien Moulin de Pesle;22;<50rkm;4393006;0456XX16;TREVELO;13235;13249
